121	110	99	88	77	66	55	44	33	22	11	0	11	22	33	44	55	66	77	88	99	110
110	100	90	80	70	60	50	40	30	20	10	0	10	20	30	40	50	60	70	80	90	100
99	90	81	72	63	54	45	36	27	18	9	0	9	18	27	36	45	54	63	72	81	90
88	80	72	64	56	48	40	32	24	16	8	0	8	16	24	32	40	48	56	64	72	80
77	70	63	56	49	42	35	28	21	14	7	0	7	14	21	28	35	42	49	56	63	70
66	60	54	48	42	36	30	24	18	12	6	0	6	12	18	24	30	36	42	48	54	60
55	50	45	40	35	30	25	20	15	10	5	0	5	10	15	20	25	30	35	40	45	50
44	40	36	32	28	24	20	16	12	8	4	0	4	8	12	16	20	24	28	32	36	40
33	30	27	24	21	18	15	12	9	6	3	0	3	6	9	12	15	18	21	24	27	30
22	20	18	16	14	12	10	8	6	4	2	0	2	4	6	8	10	12	14	16	18	20
11	10	9	8	7	6	5	4	3	2	1	0	1	2	3	4	5	6	7	8	9	10
